latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
51.98594,19.981651,113.0,7200,Europe/Berlin,CEST

time,temperature_2m (°C),rain (mm),wind_speed_10m (m/s)
2022-05-19T12:00,21.6,0.00,3.54
2022-05-19T13:00,22.6,0.00,3.26
2022-05-19T14:00,23.2,0.00,3.22
2022-05-19T15:00,23.8,0.00,3.24
2022-05-19T16:00,24.1,0.00,3.11
2022-05-19T17:00,23.9,0.00,2.87
2022-05-19T18:00,23.5,0.00,2.55
2022-05-19T19:00,21.8,0.00,1.65
2022-05-19T20:00,18.6,0.00,1.99
2022-05-19T21:00,16.5,0.00,2.24
2022-05-19T22:00,17.1,0.00,3.40
2022-05-19T23:00,17.7,0.00,4.47
2022-05-20T00:00,17.7,0.00,4.70
2022-05-20T01:00,16.9,0.00,4.78
2022-05-20T02:00,16.1,0.00,4.22
2022-05-20T03:00,15.0,0.00,3.80
2022-05-20T04:00,14.2,0.00,4.03
2022-05-20T05:00,14.3,0.00,3.96
2022-05-20T06:00,15.2,0.00,4.28
2022-05-20T07:00,17.0,0.00,4.10
2022-05-20T08:00,19.0,0.00,4.34
2022-05-20T09:00,20.5,0.00,4.75
2022-05-20T10:00,22.5,0.00,5.32
2022-05-20T11:00,24.3,0.00,5.28
2022-05-20T12:00,25.5,0.00,6.55
2022-05-20T13:00,25.8,0.00,6.62
2022-05-20T14:00,26.3,0.00,6.79
2022-05-20T15:00,26.1,0.00,6.99
2022-05-20T16:00,25.9,0.00,6.37
2022-05-20T17:00,25.4,0.00,5.95
2022-05-20T18:00,24.9,0.00,4.88
2022-05-20T19:00,24.0,0.00,3.10
2022-05-20T20:00,21.0,0.00,2.06
2022-05-20T21:00,20.6,0.00,1.92
2022-05-20T22:00,18.2,0.00,1.58
2022-05-20T23:00,17.2,0.00,1.84
2022-05-21T00:00,17.1,0.00,2.24
2022-05-21T01:00,17.3,0.00,3.14
2022-05-21T02:00,16.5,0.60,2.84
2022-05-21T03:00,15.4,3.00,1.52
2022-05-21T04:00,15.4,1.30,0.91
2022-05-21T05:00,15.4,1.10,1.64
2022-05-21T06:00,15.7,0.00,4.00
2022-05-21T07:00,17.1,0.10,8.30
2022-05-21T08:00,16.9,0.00,9.82
2022-05-21T09:00,16.7,0.00,9.94
2022-05-21T10:00,17.4,0.00,11.26
2022-05-21T11:00,17.0,0.10,11.03
2022-05-21T12:00,16.8,0.00,11.02
2022-05-21T13:00,17.8,0.00,11.92
2022-05-21T14:00,16.0,0.00,11.67
2022-05-21T15:00,15.4,0.40,10.96
2022-05-21T16:00,15.9,0.00,9.52
2022-05-21T17:00,15.4,0.00,8.71
2022-05-21T18:00,16.1,0.00,8.32
2022-05-21T19:00,15.5,0.00,8.30
2022-05-21T20:00,14.3,0.00,7.24
2022-05-21T21:00,13.5,0.00,6.53
2022-05-21T22:00,13.0,0.40,6.14
2022-05-21T23:00,12.6,0.20,6.00
2022-05-22T00:00,12.6,0.00,6.36
2022-05-22T01:00,12.3,0.00,6.61
2022-05-22T02:00,11.9,0.00,7.38
2022-05-22T03:00,11.1,0.00,6.63
2022-05-22T04:00,10.8,0.00,6.09
2022-05-22T05:00,10.3,0.00,6.04
2022-05-22T06:00,10.7,0.00,6.11
2022-05-22T07:00,11.7,0.00,7.21
2022-05-22T08:00,12.4,0.00,7.00
2022-05-22T09:00,13.2,0.00,7.11
2022-05-22T10:00,13.9,0.00,7.38
2022-05-22T11:00,14.2,0.10,7.39
2022-05-22T12:00,14.7,0.10,7.02
2022-05-22T13:00,14.9,0.10,7.11
2022-05-22T14:00,15.1,0.20,6.74
2022-05-22T15:00,15.1,0.10,6.04
2022-05-22T16:00,16.2,0.00,5.66
2022-05-22T17:00,13.0,0.20,5.48
2022-05-22T18:00,14.0,0.00,4.19
2022-05-22T19:00,14.2,0.00,4.74
2022-05-22T20:00,12.5,0.00,3.41
2022-05-22T21:00,11.4,0.00,3.31
2022-05-22T22:00,10.0,0.00,2.82
2022-05-22T23:00,9.0,0.00,2.46
2022-05-23T00:00,8.4,0.00,2.44
2022-05-23T01:00,7.7,0.00,2.27
2022-05-23T02:00,7.4,0.00,2.34
2022-05-23T03:00,6.9,0.00,2.05
2022-05-23T04:00,7.0,0.00,1.92
2022-05-23T05:00,6.6,0.00,1.94
2022-05-23T06:00,8.0,0.00,2.20
2022-05-23T07:00,9.7,0.00,1.68
2022-05-23T08:00,11.3,0.00,1.70
2022-05-23T09:00,13.0,0.00,1.49
2022-05-23T10:00,14.3,0.00,1.77
2022-05-23T11:00,15.7,0.00,1.66
2022-05-23T12:00,16.7,0.00,1.50
2022-05-23T13:00,16.4,0.00,1.33
